"Phylum","Class","Organism_name","Organism","Number_of_rpoN_genes","Total_organisms_per_class","Class_count_organims_with_rpoN"
"Pseudomonadota","Betaproteobacteria","Sphaerotilus sulfidivorans D-507 (Sphaerotilus natans subsp. sulfidivorans D-507)","snn",1,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Nitrotoga sp. AM1P","nim",1,139,139
"Pseudomonadota","Betaproteobacteria","Thiobacillus denitrificans ATCC 25259","tbd",2,139,139
"Pseudomonadota","Betaproteobacteria","Melaminivora suipulveris SC2-9","mela",1,139,139
"Pseudomonadota","Betaproteobacteria","Orrella dioscoreae LMG 29303","odi",1,139,139
"Pseudomonadota","Betaproteobacteria","Methylotenera versatilis 301","meh",1,139,139
"Pseudomonadota","Betaproteobacteria","Conchiformibius steedae DSM 2580","cste",1,139,139
"Pseudomonadota","Betaproteobacteria","Sulfuriferula plumbiphila Gro7","splb",3,139,139
"Pseudomonadota","Betaproteobacteria","Ralstonia pseudosolanacearum GMI1000 (Ralstonia solanacearum GMI1000)","rso",2,139,139
"Pseudomonadota","Betaproteobacteria","Simonsiella muelleri ATCC 29453","smur",1,139,139
"Pseudomonadota","Betaproteobacteria","Gallionella capsiferriformans ES-2","gca",1,139,139
"Pseudomonadota","Betaproteobacteria","Chitinibacter fontanus STM-7","cfon",1,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Methylopumilus turicensis MMS-10A-171 (Methylophilaceae bacterium MMS-10A-171)","mbac",1,139,139
"Pseudomonadota","Betaproteobacteria","Eikenella corrodens NCTC10596","ecor",1,139,139
"Pseudomonadota","Betaproteobacteria","Tepidimonas taiwanensis LMG 22826","ttw",1,139,139
"Pseudomonadota","Betaproteobacteria","Aquella oligotrophica DSM 100970","nba",0,139,139
"Pseudomonadota","Betaproteobacteria","Herbaspirillum seropedicae SmR1","hse",1,139,139
"Pseudomonadota","Betaproteobacteria","Collimonas arenae Cal35","care",1,139,139
"Pseudomonadota","Betaproteobacteria","Methylovorus glucosotrophus SIP3-4 (Methylovorus glucosetrophus SIP3-4)","mei",1,139,139
"Pseudomonadota","Betaproteobacteria","Limnohabitans sp. 63ED37-2","lih",1,139,139
"Pseudomonadota","Betaproteobacteria","Cupriavidus metallidurans CH34","rme",1,139,139
"Pseudomonadota","Betaproteobacteria","Ferriphaselus amnicola OYT1","fam",1,139,139
"Pseudomonadota","Betaproteobacteria","Thiomonas arsenitoxydans 3As","thi",1,139,139
"Pseudomonadota","Betaproteobacteria","Variovorax paradoxus B4","vpd",1,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Symbiobacter mobilis CR (Comamonadaceae bacterium CR)","cbx",1,139,139
"Pseudomonadota","Betaproteobacteria","Neisseria gonorrhoeae FA 1090","ngo",1,139,139
"Pseudomonadota","Betaproteobacteria","Paralysiella testudinis 26B","ptes",1,139,139
"Pseudomonadota","Betaproteobacteria","Methylophilus sp. TWE2","meu",1,139,139
"Pseudomonadota","Betaproteobacteria","Quatrionicoccus australiensis D9","qau",1,139,139
"Pseudomonadota","Betaproteobacteria","Methyloradius palustris Zm11","mpau",1,139,139
"Pseudomonadota","Betaproteobacteria","Sutterella wadsworthensis FDAARGOS_1159","sws",1,139,139
"Pseudomonadota","Betaproteobacteria","Dechloromonas aromatica RCB","dar",1,139,139
"Pseudomonadota","Betaproteobacteria","Herminiimonas arsenicoxydans","har",1,139,139
"Pseudomonadota","Betaproteobacteria","Pulveribacter suum SC2-7","melm",1,139,139
"Pseudomonadota","Betaproteobacteria","Comamonas testosteroni TK102","ctes",1,139,139
"Pseudomonadota","Betaproteobacteria","Alicycliphilus denitrificans K601","adk",1,139,139
"Pseudomonadota","Betaproteobacteria","Nitrosospira multiformis ATCC 25196","nmu",1,139,139
"Pseudomonadota","Betaproteobacteria","Advenella mimigardefordensis DPN7","amim",1,139,139
"Pseudomonadota","Betaproteobacteria","Azospira restricta DSM 18626","ares",1,139,139
"Pseudomonadota","Betaproteobacteria","Rhodoferax koreensis DCY-110","rhy",1,139,139
"Pseudomonadota","Betaproteobacteria","Aquabacterium olei NBRC 110486","aon",2,139,139
"Pseudomonadota","Betaproteobacteria","Piscinibacter gummiphilus NS21 (Rhizobacter gummiphilus NS21)","rgu",3,139,139
"Pseudomonadota","Betaproteobacteria","Delftia lacustris FDAARGOS_890","dla",2,139,139
"Pseudomonadota","Betaproteobacteria","Paucimonas lemoignei NCTC10937","plg",1,139,139
"Pseudomonadota","Betaproteobacteria","Chromobacterium haemolyticum CH06-BL","chae",1,139,139
"Pseudomonadota","Betaproteobacteria","Chitinimonas arctica R3-44","cari",1,139,139
"Pseudomonadota","Betaproteobacteria","Deefgea piscis D17","dee",1,139,139
"Pseudomonadota","Betaproteobacteria","Vitreoscilla filiformis ATCC 15551","vff",1,139,139
"Pseudomonadota","Betaproteobacteria","Laribacter hongkongensis HLHK9","lhk",1,139,139
"Pseudomonadota","Betaproteobacteria","Denitratisoma oestradiolicum DSM 16959","doe",1,139,139
"Pseudomonadota","Betaproteobacteria","Paraburkholderia hospita DSM 17164","phs",2,139,139
"Pseudomonadota","Betaproteobacteria","Burkholderia sp. YI23","byi",2,139,139
"Pseudomonadota","Betaproteobacteria","Limnobacter profundi SAORIC-580","limn",1,139,139
"Pseudomonadota","Betaproteobacteria","Basilea psittacipulmonis DSM 24701","bpsi",1,139,139
"Pseudomonadota","Betaproteobacteria","Sulfuricella denitrificans skB26","sdr",1,139,139
"Pseudomonadota","Betaproteobacteria","Aquitalea magnusonii H3","amah",1,139,139
"Pseudomonadota","Betaproteobacteria","Candidatus Kinetoplastidibacterium desouzai TCC079E, endosymbiont of Angomonas desouzai (Candidatus Kinetoplastibacterium desouzaii TCC079E)","kde",0,139,139
"Pseudomonadota","Betaproteobacteria","Ottowia oryzae KADR8-3","otk",1,139,139
"Pseudomonadota","Betaproteobacteria","Ferrigenium kumadai An22","fku",1,139,139
"Pseudomonadota","Betaproteobacteria","Iodobacter fluviatilis PCH194","ifl",1,139,139
"Pseudomonadota","Betaproteobacteria","Rugosibacter aromaticivorans Ca6 (Rhodocyclaceae bacterium PG1-Ca6)","rbu",2,139,139
"Pseudomonadota","Betaproteobacteria","Alysiella filiformis DSM 16848","aff",1,139,139
"Pseudomonadota","Betaproteobacteria","Diaphorobacter sp. HDW4A","dih",1,139,139
"Actinomycetota","Actinomycetes","Catellatospora sp. IY07-71","cati",0,173,173
"Actinomycetota","Actinomycetes","Micropruina glycogenica Lg2","mgg",0,173,173
"Actinomycetota","Actinomycetes","Frigoribacterium sp. NBH87","frn",0,173,173
"Actinomycetota","Actinomycetes","Modestobacter italicus BC 501 (Modestobacter marinus BC501)","mmar",1,173,173
"Actinomycetota","Actinomycetes","Actinosynnema mirum DSM 43827","ami",0,173,173
"Actinomycetota","Actinomycetes","Oerskovia sp. KBS0722","oek",0,173,173
"Actinomycetota","Actinomycetes","Segniliparus rotundus DSM 44985","srt",0,173,173
"Actinomycetota","Actinomycetes","Flaviflexus salsibiostraticola KCTC 33148","fsl",0,173,173
"Actinomycetota","Actinomycetes","Cutibacterium avidum 44067 (Propionibacterium avidum 44067)","pra",0,173,173
"Actinomycetota","Actinomycetes","Actinocatenispora thailandica NBRC 105041","atl",0,173,173
"Actinomycetota","Actinomycetes","Parascardovia denticolens DSM 10105 = JCM 12538","pdo",0,173,173
"Actinomycetota","Actinomycetes","Saccharomonospora viridis DSM 43017","svi",0,173,173
"Actinomycetota","Actinomycetes","Dietzia psychralcaliphila ILA-1","dpc",0,173,173
"Actinomycetota","Actinomycetes","Dermabacter vaginalis AD1-86","dva",0,173,173
"Actinomycetota","Actinomycetes","Verrucosispora sp. NA02020","ver",0,173,173
"Actinomycetota","Actinomycetes","Phytohabitans suffuscus NBRC 105367","psuu",0,173,173
"Actinomycetota","Actinomycetes","Agromyces aureus AR33","agy",0,173,173
"Actinomycetota","Actinomycetes","Luteipulveratus mongoliensis MN07-A0370","lmoi",0,173,173
"Actinomycetota","Actinomycetes","Micromonospora sp. HM134","mich",0,173,173
"Actinomycetota","Actinomycetes","Raineyella fluvialis CBA3103","rain",0,173,173
"Actinomycetota","Actinomycetes","Rathayibacter festucae DSM 15932","rfs",0,173,173
"Actinomycetota","Actinomycetes","Nocardioides sp. JS614","nca",0,173,173
"Actinomycetota","Actinomycetes","Schaalia odontolytica XH001","soo",0,173,173
"Actinomycetota","Actinomycetes","Thermobispora bispora DSM 43833","tbi",0,173,173
"Actinomycetota","Actinomycetes","Psychromicrobium lacuslunae IHBB 11108 (Arthrobacter sp. IHBB 11108)","ari",0,173,173
"Actinomycetota","Actinomycetes","Curtobacterium sp. BH-2-1-1","cub",0,173,173
"Actinomycetota","Actinomycetes","Arsenicicoccus sp. oral taxon 190","ars",0,173,173
"Actinomycetota","Actinomycetes","Sanguibacter keddieii DSM 10542","ske",0,173,173
"Actinomycetota","Actinomycetes","Trueperella pyogenes TP6375","tpy",0,173,173
"Actinomycetota","Actinomycetes","Janibacter limosus P3-3-X1","jli",0,173,173
"Actinomycetota","Actinomycetes","Propionibacterium australiense NCTC13651","paus",0,173,173
"Actinomycetota","Actinomycetes","Kitasatospora sp. MMS16-BH015","kit",0,173,173
"Actinomycetota","Actinomycetes","Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111","nda",0,173,173
"Actinomycetota","Actinomycetes","Skermania piniformis DSM 43998","spin",0,173,173
"Actinomycetota","Actinomycetes","Agreia sp. COWG","agx",0,173,173
"Actinomycetota","Actinomycetes","Dermacoccus abyssi HZAU 226","day",0,173,173
"Actinomycetota","Actinomycetes","Pseudarthrobacter chlorophenolicus A6 (Arthrobacter chlorophenolicus A6)","ach",0,173,173
"Actinomycetota","Actinomycetes","Kocuria rosea ATCC 186","krs",0,173,173
"Actinomycetota","Actinomycetes","Pimelobacter simplex VKM Ac-2033D","psim",0,173,173
"Actinomycetota","Actinomycetes","Sinomonas cyclohexanicum ATCC 51369 (Corynebacterium cyclohexanicum ATCC 51369)","ccyc",0,173,173
"Actinomycetota","Actinomycetes","Nocardia arthritidis AUSMDU00012717","nah",0,173,173
"Actinomycetota","Actinomycetes","Paeniglutamicibacter sp. Y32M11","paey",0,173,173
"Actinomycetota","Actinomycetes","Rothia terrae KJZ-14","rter",0,173,173
"Actinomycetota","Actinomycetes","Amycolatopsis sp. YIM 10","amyy",0,173,173
"Actinomycetota","Actinomycetes","Polymorphospora rubra NBRC 101157","pry",0,173,173
"Actinomycetota","Actinomycetes","Actinomadura parvosata subsp. kistnae ATCC 55076 (Nonomuraea sp. ATCC 55076)","noa",0,173,173
"Actinomycetota","Actinomycetes","Mycolicibacter sinensis JDM601 (Mycobacterium sp. JDM601)","mjd",0,173,173
"Actinomycetota","Actinomycetes","Yinghuangia sp. ASG 101","yia",0,173,173
"Actinomycetota","Actinomycetes","Cnuibacter physcomitrellae XA(T)","cphy",0,173,173
"Actinomycetota","Actinomycetes","Kutzneria albida DSM 43870","kal",0,173,173
"Actinomycetota","Actinomycetes","Streptosporangium roseum DSM 43021","sro",0,173,173
"Actinomycetota","Actinomycetes","Mycobacteroides immunogenum FLAC016 (Mycobacterium immunogenum FLAC016)","miz",0,173,173
"Actinomycetota","Actinomycetes","Actinotignum schaalii CCUG 27420 (Actinobaculum schaalii CCUG 27420)","asg",0,173,173
"Actinomycetota","Actinomycetes","Salinibacterium sp. UTAS2018","sala",0,173,173
"Actinomycetota","Actinomycetes","Actinoplanes friuliensis DSM 7358 (Amorphoplanes friuliensis DSM 7358)","afs",0,173,173
"Actinomycetota","Actinomycetes","Aeromicrobium chenweiae 592","aez",0,173,173
"Actinomycetota","Actinomycetes","Natronosporangium hydrolyticum DSM 106523","nhy",0,173,173
"Actinomycetota","Actinomycetes","Luteimicrobium xylanilyticum HY-24","lxl",0,173,173
"Actinomycetota","Actinomycetes","Streptomonospora litoralis M2","strr",0,173,173
"Actinomycetota","Actinomycetes","Natronoglycomyces albus DSM 106290","nav",0,173,173
"Actinomycetota","Actinomycetes","Marisediminicola antarctica ZS314","mant",0,173,173
"Actinomycetota","Actinomycetes","Tomitella fengzijianii HY188","toy",0,173,173
"Actinomycetota","Actinomycetes","Protaetiibacter intestinalis 2DFWR-13","lyd",0,173,173
"Actinomycetota","Actinomycetes","Mycolicibacillus parakoreensis DSM 45575","mpak",0,173,173
"Actinomycetota","Actinomycetes","Yimella sp. cx-51","yim",0,173,173
"Actinomycetota","Actinomycetes","Beutenbergia cavernae DSM 12333","bcv",0,173,173
"Actinomycetota","Actinomycetes","Actinoalloteichus sp. GBA129-24","acti",0,173,173
"Actinomycetota","Actinomycetes","Austwickia sp. Fred_18-Q3-R57-64_BATAC.85v2","aus",0,173,173
"Actinomycetota","Actinomycetes","Tsukamurella tyrosinosolvens (Tsukamurella sp. MH1)","tsm",0,173,173
"Actinomycetota","Actinomycetes","Chryseoglobus sp. 28M-23","chre",0,173,173
"Actinomycetota","Actinomycetes","Citricoccus sp. SGAir0253","cig",1,173,173
"Actinomycetota","Actinomycetes","Micrococcus sp. KBS0714","mick",0,173,173
"Actinomycetota","Actinomycetes","Actinobaculum sp. 313","actt",0,173,173
"Actinomycetota","Actinomycetes","Saccharopolyspora erythraea NRRL 2338","sen",0,173,173
"Actinomycetota","Actinomycetes","Nakamurella multipartita DSM 44233","nml",0,173,173
"Actinomycetota","Actinomycetes","Catenulispora acidiphila DSM 44928","cai",0,173,173
"Actinomycetota","Actinomycetes","Brachybacterium sp. P6-10-X1","brx",0,173,173
"Actinomycetota","Actinomycetes","Pseudofrankia inefficax EuI1c","fri",0,173,173
"Actinomycetota","Actinomycetes","Phycicoccus endophyticus JCM 31784","pei",0,173,173
"Actinomycetota","Actinomycetes","Propioniciclava sp. MC1595","brt",0,173,173
"Actinomycetota","Actinomycetes","Acidipropionibacterium acidipropionici ATCC 4875 (Propionibacterium acidipropionici ATCC 4875)","pbo",0,173,173
"Actinomycetota","Actinomycetes","Dermatophilus congolensis NCTC13039","dco",0,173,173
"Actinomycetota","Actinomycetes","Sinomonas atrocyanea KCTC 3377","satk",0,173,173
"Actinomycetota","Actinomycetes","Prauserella marina DSM 45268","pmad",0,173,173
"Actinomycetota","Actinomycetes","Spiractinospora alimapuensis VN6-2","saiu",0,173,173
"Actinomycetota","Actinomycetes","Mycolicibacterium goodii X7B (Mycobacterium goodii X7B)","mgo",0,173,173
"Actinomycetota","Actinomycetes","Mycetocola zhujimingii 449 = CGMCC 1.16372","myl",0,173,173
"Actinomycetota","Actinomycetes","Mumia sp. ZJ1417","muz",0,173,173
"Actinomycetota","Actinomycetes","Blastococcus saxobsidens DD2","bsd",0,173,173
"Actinomycetota","Actinomycetes","Jonesia denitrificans DSM 20603","jde",0,173,173
"Actinomycetota","Actinomycetes","Scardovia inopinata JCM 12537","sij",0,173,173
"Actinomycetota","Actinomycetes","Propioniciclava coleopterorum HDW11","prv",0,173,173
"Actinomycetota","Actinomycetes","Aurantimicrobium photophilum MWH-Mo1","aum",0,173,173
"Actinomycetota","Actinomycetes","Georgenia yuyongxinii Z443","gyu",0,173,173
"Actinomycetota","Actinomycetes","Salinispora arenicola CNS-205","saq",0,173,173
"Actinomycetota","Actinomycetes","Alloactinosynnema sp. L-07","alo",1,173,173
"Actinomycetota","Actinomycetes","Pseudopropionibacterium propionicum F0230a (Propionibacterium propionicum F0230a)","ppc",0,173,173
"Actinomycetota","Actinomycetes","Boudabousia tangfeifanii VUL4_3 (Actinomyces tangfeifanii VUL4_3)","avu",0,173,173
"Actinomycetota","Actinomycetes","Glaciihabitans sp. INWT7","gln",0,173,173
"Actinomycetota","Actinomycetes","Dactylosporangium vinaceum NRRL B-16297","dvc",0,173,173
"Actinomycetota","Actinomycetes","Microbacterium sp. No. 7","mio",0,173,173
"Actinomycetota","Actinomycetes","Hoyosella subflava DQS3-9A1 (Amycolicicoccus subflavus DQS3-9A1)","asd",0,173,173
"Actinomycetota","Actinomycetes","Plantactinospora sp. BB1","plat",0,173,173
"Actinomycetota","Actinomycetes","Serinicoccus hydrothermalis JLT9 (Serinicoccus sp. JLT9)","serj",0,173,173
"Actinomycetota","Actinomycetes","Renibacterium salmoninarum ATCC 33209","rsa",0,173,173
"Actinomycetota","Actinomycetes","Ornithinimicrobium ciconiae H23M54","orz",0,173,173
"Actinomycetota","Actinomycetes","Aquiluna borgnonia 15G-AUS-rot","aqg",0,173,173
"Actinomycetota","Actinomycetes","Candidatus Nanopelagicus limnes","abam",0,173,173
"Actinomycetota","Actinomycetes","Allosaccharopolyspora coralli E2A","sace",0,173,173
"Actinomycetota","Actinomycetes","Thermomonospora curvata DSM 43183","tcu",0,173,173
"Actinomycetota","Actinomycetes","Clavibacter michiganensis subsp. michiganensis NCPPB 382","cmi",0,173,173
"Actinomycetota","Actinomycetes","Glycomyces sp. TRM65418","gly",0,173,173
"Actinomycetota","Actinomycetes","Nanchangia anserum C64","wik",0,173,173
"Actinomycetota","Actinomycetes","Cellulosimicrobium cellulans PSBB019","cceu",0,173,173
"Actinomycetota","Actinomycetes","Thermobifida halotolerans DSM 44931","thao",0,173,173
"Actinomycetota","Actinomycetes","Peterkaempfera bronchialis DSM 106435","stri",0,173,173
"Actinomycetota","Actinomycetes","Epidermidibacterium keratini EPI-7","eke",0,173,173
"Actinomycetota","Actinomycetes","Plantibacter sp. PA-3-X8","plap",0,173,173
"Actinomycetota","Actinomycetes","Intrasporangium calvum DSM 43043","ica",0,173,173
"Actinomycetota","Actinomycetes","Microlunatus phosphovorus NM-1","mph",0,173,173
"Actinomycetota","Actinomycetes","Microterricola viridarii ERGS5:02","mvd",0,173,173
"Actinomycetota","Actinomycetes","Gardnerella vaginalis HMP9231","gvh",0,173,173
"Actinomycetota","Actinomycetes","Cryobacterium arcticum PAMC 27867","cart",0,173,173
"Actinomycetota","Actinomycetes","Isoptericola dokdonensis DS-3","ido",0,173,173
"Actinomycetota","Actinomycetes","Pseudactinotalea sp. HY158","psei",0,173,173
"Actinomycetota","Actinomycetes","Streptomyces rapamycinicus NRRL 5491","src",0,173,173
"Actinomycetota","Actinomycetes","Auritidibacter sp. NML130574","aul",0,173,173
"Actinomycetota","Actinomycetes","Saccharothrix syringae NRRL B-16468","ssyi",0,173,173
"Actinomycetota","Actinomycetes","Pseudoclavibacter triregionum 125703-2019","psev",0,173,173
"Actinomycetota","Actinomycetes","Gryllotalpicola protaetiae 2DFW10M-5","gry",0,173,173
"Actinomycetota","Actinomycetes","Geodermatophilus obscurus DSM 43160","gob",0,173,173
"Actinomycetota","Actinomycetes","Allobranchiibius sp. GilTou73","alx",0,173,173
"Actinomycetota","Actinomycetes","Brevibacterium aurantiacum SMQ-1335 (Brevibacterium linens SMQ-1335)","blin",0,173,173
"Actinomycetota","Actinomycetes","Stackebrandtia nassauensis DSM 44728","sna",0,173,173
"Actinomycetota","Actinomycetes","Nostocoides sp. HKS02","teh",0,173,173
"Actinomycetota","Actinomycetes","Subtercola sp. PAMC28395","subt",0,173,173
"Actinomycetota","Actinomycetes","Paenarthrobacter aurescens TC1 (Arthrobacter aurescens TC1)","aau",0,173,173
"Actinomycetota","Actinomycetes","Pseudonocardia autotrophica NBRC 12743","paut",0,173,173
"Actinomycetota","Actinomycetes","Actinopolyspora erythraea YIM 90600","aey",0,173,173
"Actinomycetota","Actinomycetes","Actinomyces viscosus NCTC10951","avc",0,173,173
"Actinomycetota","Actinomycetes","Kibdelosporangium phytohabitans KLBMP1111","kphy",0,173,173
"Actinomycetota","Actinomycetes","Kribbella flavida DSM 17836","kfl",0,173,173
"Actinomycetota","Actinomycetes","Microcella alkaliphila JAM AC0309","malk",0,173,173
"Actinomycetota","Actinomycetes","Rhodococcus koreensis R85","rko",0,173,173
"Actinomycetota","Actinomycetes","Arthrobacter citreus NEB 577","acit",1,173,173
"Actinomycetota","Actinomycetes","Ruania alkalisoli RN3S43","halt",0,173,173
"Actinomycetota","Actinomycetes","Herbiconiux sp. SALV-R1","hea",0,173,173
"Actinomycetota","Actinomycetes","Frondihabitans sp. PAMC 28766","frp",0,173,173
"Actinomycetota","Actinomycetes","Kineococcus radiotolerans SRS30216 = ATCC BAA-149","kra",0,173,173
"Actinomycetota","Actinomycetes","Glutamicibacter halophytocola KLBMP 5180","gar",0,173,173
"Actinomycetota","Actinomycetes","Tessaracoccus sp. T2.5-30","tez",0,173,173
"Actinomycetota","Actinomycetes","Actinomadura sp. WMMB 499","actw",0,173,173
"Actinomycetota","Actinomycetes","Cellulomonas fimi ATCC 484","cfi",0,173,173
"Actinomycetota","Actinomycetes","Gordonia insulae MMS17-SY073","gom",0,173,173
"Actinomycetota","Actinomycetes","Tropheryma whipplei Twist","twh",0,173,173
"Actinomycetota","Actinomycetes","Humibacter sp. BT305","hum",0,173,173
"Actinomycetota","Actinomycetes","Mobiluncus curtisii ATCC 43063","mcu",0,173,173
"Actinomycetota","Actinomycetes","Bifidobacterium scardovii JCM 12489 = DSM 13734","bsca",0,173,173
"Actinomycetota","Actinomycetes","Xylanimonas cellulosilytica DSM 15894","xce",0,173,173
"Actinomycetota","Actinomycetes","Rhodoluna lacicola MWH-Ta8 (Candidatus Rhodoluna lacicola MWH-Ta8)","rla",0,173,173
"Actinomycetota","Actinomycetes","Agrococcus sp. SGAir0287","agg",0,173,173
"Actinomycetota","Actinomycetes","Leifsonia shinshuensis INR9","lse",0,173,173
"Actinomycetota","Actinomycetes","Acidothermus cellulolyticus 11B","ace",0,173,173
"Actinomycetota","Actinomycetes","Mycolicibacterium mageritense JCM 12375","mmat",0,173,173
"Actinomycetota","Actinomycetes","Lawsonella clevelandensis (Corynebacteriales bacterium X1698)","cbq",0,173,173
"Actinomycetota","Actinomycetes","Neomicrococcus aestuarii B18","nae",0,173,173
"Actinomycetota","Actinomycetes","Candidatus Planktophila lacus","plan",0,173,173
"Actinomycetota","Actinomycetes","Leucobacter triazinivorans JW-1","ltr",0,173,173
"Actinomycetota","Actinomycetes","Kytococcus sedentarius DSM 20547","kse",0,173,173
"Actinomycetota","Actinomycetes","Pengzhenrongella sicca LRZ-2","psic",0,173,173
"Actinomycetota","Actinomycetes","Pontimonas salivibrio CL-TW6","psai",0,173,173
"Actinomycetota","Actinomycetes","Lentzea guizhouensis DHS C013","led",0,173,173
"Actinomycetota","Actinomycetes","Arcanobacterium haemolyticum DSM 20595","ahe",0,173,173
"Pseudomonadota","Alphaproteobacteria","Candidatus Phycorickettsia trachydisci CCALA 838, endosymbiont of Trachydiscus minutus","ptc",0,233,233
"Pseudomonadota","Alphaproteobacteria","Azospirillum brasilense Sp 7","abf",1,233,233
"Pseudomonadota","Alphaproteobacteria","Paracoccus denitrificans PD1222","pde",1,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudochrobactrum algeriensis C150915_17","pscq",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Gromoviella agglomerans Sp8-1","gagg",0,233,233
"Pseudomonadota","Alphaproteobacteria","Niveispirillum cyanobacteriorum TH16","ncb",1,233,233
"Pseudomonadota","Alphaproteobacteria","Methylocystis parvus BRCS2","mpar",1,233,233
"Pseudomonadota","Alphaproteobacteria","Magnetospirillum sp. XM-1","magx",1,233,233
"Pseudomonadota","Alphaproteobacteria","Tateyamaria omphalii DOK1-4","tom",0,233,233
"Pseudomonadota","Alphaproteobacteria","Rhizorhabdus wittichii DC-6 (Sphingomonas wittichii DC-6)","sphd",1,233,233
"Pseudomonadota","Alphaproteobacteria","Beijerinckia indica subsp. indica ATCC 9039","bid",1,233,233
"Pseudomonadota","Alphaproteobacteria","Hirschia baltica ATCC 49814","hba",1,233,233
"Pseudomonadota","Alphaproteobacteria","Planktomarina temperata RCA23","ptp",1,233,233
"Pseudomonadota","Alphaproteobacteria","Hyphobacterium sp. CCMP332","hyt",1,233,233
"Pseudomonadota","Alphaproteobacteria","Polymorphum gilvum SL003B-26A1","pgv",1,233,233
"Pseudomonadota","Alphaproteobacteria","Brevundimonas vancanneytii NCTC9239","bvy",1,233,233
"Pseudomonadota","Alphaproteobacteria","Gemmobacter fulvus con5","gfu",1,233,233
"Pseudomonadota","Alphaproteobacteria","Thioclava nitratireducens 25B10_4","thw",0,233,233
"Pseudomonadota","Alphaproteobacteria","Nitrobacter hamburgensis X14","nha",1,233,233
"Pseudomonadota","Alphaproteobacteria","Falsihalocynthiibacter arcticus PAMC 20958 (Halocynthiibacter arcticus PAMC 20958)","hat",0,233,233
"Pseudomonadota","Alphaproteobacteria","Commensalibacter melissae AMU001 (Commensalibacter sp. AMU001)","coq",0,233,233
"Pseudomonadota","Alphaproteobacteria","Octadecabacter arcticus 238","oar",1,233,233
"Pseudomonadota","Alphaproteobacteria","Jannaschia sp. CCS1","jan",0,233,233
"Pseudomonadota","Alphaproteobacteria","Pseudosulfitobacter pseudonitzschiae SMR1","spse",0,233,233
"Pseudomonadota","Alphaproteobacteria","Hypericibacter adhaerens R5959","hadh",1,233,233
"Pseudomonadota","Alphaproteobacteria","Hyphomicrobium sp. MC1","hmc",1,233,233
"Pseudomonadota","Alphaproteobacteria","Mesorhizobium loti NZP2037","mln",3,233,233
"Pseudomonadota","Alphaproteobacteria","Cereibacter sphaeroides 2.4.1 (Rhodobacter sphaeroides 2.4.1)","rsp",4,233,233
"Pseudomonadota","Alphaproteobacteria","Parvularcula bermudensis HTCC2503","pbr",1,233,233
"Pseudomonadota","Alphaproteobacteria","Silicimonas algicola KC90","salo",0,233,233
"Pseudomonadota","Alphaproteobacteria","Phenylobacterium zucineum HLK1","pzu",1,233,233
"Pseudomonadota","Alphaproteobacteria","Aminobacter aminovorans KCTC 2477","aak",1,233,233
"Pseudomonadota","Alphaproteobacteria","Ehrlichia ruminantium Gardel","erg",0,233,233
"Pseudomonadota","Alphaproteobacteria","Acetobacter senegalensis 108B","asz",0,233,233
"Pseudomonadota","Alphaproteobacteria","Novosphingobium resinovorum SA1","nre",1,233,233
"Pseudomonadota","Alphaproteobacteria","Qingshengfaniella alkalisoli LN3S51","lit",0,233,233
"Pseudomonadota","Alphaproteobacteria","Hyphomonas neptunium ATCC 15444","hne",1,233,233
"Pseudomonadota","Alphaproteobacteria","Porphyrobacter sp. YT40","pot",1,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodomicrobium vannielii ATCC 17100","rva",1,233,233
"Pseudomonadota","Alphaproteobacteria","Komagataeibacter xylinus E25 (Gluconacetobacter xylinus E25)","gxl",0,233,233
"Pseudomonadota","Alphaproteobacteria","Georhizobium profundi WS11","abaw",1,233,233
"Pseudomonadota","Alphaproteobacteria","Oceanicola sp. D3","ocd",1,233,233
"Pseudomonadota","Alphaproteobacteria","Neorickettsia helminthoeca Oregon, endosymbiont of Nanophyetus salmincola","nhm",0,233,233
"Pseudomonadota","Alphaproteobacteria","Profundibacter amoris BAR1","pamo",1,233,233
"Pseudomonadota","Alphaproteobacteria","Peteryoungia desertarenae ADMK78","pdes",1,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Tokpelaia hoelldoblerii Hsal","thd",0,233,233
"Pseudomonadota","Alphaproteobacteria","Candidatus Viadribacter manganicus A272","cbot",1,233,233
"Pseudomonadota","Alphaproteobacteria","Roseitalea porphyridii MA7-20","rpod",1,233,233
"Pseudomonadota","Alphaproteobacteria","Bradyrhizobium sp. BTAi1, endosymbiont of Aeschynomene indica","bbt",1,233,233
"Pseudomonadota","Alphaproteobacteria","Neorhizobium galegae bv. orientalis HAMBI 540","ngg",2,233,233
"Pseudomonadota","Alphaproteobacteria","Xanthobacter dioxanivorans YN2","xdi",1,233,233
"Pseudomonadota","Alphaproteobacteria","Roseobacter litoralis Och 149","rli",0,233,233
"Pseudomonadota","Alphaproteobacteria","Rhodobacter capsulatus SB 1003","rcp",1,233,233
"Pseudomonadota","Alphaproteobacteria","Falsirhodobacter algicola PG104","fap",0,233,233
